#,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,Tests/,1M pop,,Population,Continent,1 Caseevery X ppl1 Deathevery X ppl1 Testevery X ppl,New Cases/1M pop,New Deaths/1M pop,Active Cases/1M pop
,,North America,,"115,682,370",+14,"1,533,239",,"110,142,624","+3,281","4,006,507","8,467",,,,,,North America,,,,,,,
,,Asia,,"188,085,078","+128,137","1,476,288",+257,"181,865,607","+205,691","4,743,183","11,197",,,,,,Asia,,,,,,,
,,Europe,,"224,718,619","+68,641","1,915,384",+151,"218,821,968","+126,160","3,981,267","8,953",,,,,,Europe,,,,,,,
,,South America,,"63,957,661","+1,602","1,328,280",,"62,142,054","+4,617","487,327","10,304",,,,,,South America,,,,,,,
,,Oceania,,"12,304,377","+2,537","20,460",+8,"12,120,727","+1,474","163,190",108,,,,,,Australia/Oceania,,,,,,,
,,Africa,,"12,635,040",+17,"257,534",,"11,981,199",+81,"396,307","1,018",,,,,,Africa,,,,,,,
,,,,721,,15,,706,,0,0,,,,,,,,,,,,,
,World,"617,383,866","+200,948","6,531,200",+416,"597,074,885","+341,304","13,777,781","40,047","79,205",837.9,,,,All,,,,,,,
83,Palestine,"620,548",,"5,403 ",,"608,749",,"6,396",17,"115,699","1,007","3,078,533","573,983","5,363,460 ",Asia,99932,,,"1,193"
84,Myanmar,"618,898",,"19,446 ",,"595,385",,"4,067",,"11,209",352,"8,914,970","161,458","55,215,493 ",Asia,"892,8396",,,74
85,Estonia,"599,493",,"2,661 ",,"524,990",,"71,842",1,"451,254","2,003","3,518,566","2,648,515","1,328,505 ",Europe,24990,,,"54,077"
86,Moldova,"583,183",,"11,808 ",,"504,142",,"67,233",49,"145,314","2,942","3,216,305","801,419","4,013,265 ",Europe,73401,,,"16,753"
87,Cyprus,"582,381",,"1,178 ",,"575,600",+250,"5,603",60,"474,726",960,"9,640,118","7,858,111","1,226,773 ",Asia,"21,0410",,,"4,567"
88,Venezuela,"544,210",,"5,811 ",,"536,905",,"1,494",36,"19,259",206,"3,359,014","118,869","28,258,073 ",South America,"524,8638",,,53
89,Egypt,"515,645",,"24,613 ",,"442,182",,"48,850",122,"4,837",231,"3,693,367","34,647","106,599,139 ",Africa,"2074,33129",,,458
90,Libya,"506,932",+6,"6,437 ",,"500,474",+4,21,101,"71,624",909,"2,481,261","350,573","7,077,728 ",Africa,"141,1003",0.8,,3
91,Ethiopia,"493,430",,"7,572 ",,"471,813",,"14,045",1,"4,069",62,"5,237,754","43,196","121,256,217 ",Africa,"24616,01423",,,116
92,Réunion,"470,388",,884 ,,"418,572",,"50,932",10,"517,236",972,"1,603,660","1,763,376","909,426 ",Africa,"21,0291",,,"56,005"
93,Honduras,"455,836",,"10,992 ",,N/A,N/A,N/A,105,"44,460","1,072","1,520,247","148,278","10,252,662 ",North America,229337,,,"30,460"
94,Qatar,"442,389",+944,682 ,,"435,709",+779,"5,998",3,"157,557",243,"3,923,902","1,397,498","2,807,805 ",Asia,"64,1171",336,,"2,136"
95,Armenia,"439,302",,"8,669 ",,"425,531",,"5,102",,"147,641","2,913","3,198,646","1,075,004","2,975,474 ",Asia,73431,,,"1,715"
96,Oman,"397,993",,"4,260 ",,"384,669",,"9,064",2,"73,790",790,"25,000,000","4,635,106","5,393,620 ",Asia,"141,2660",,,"1,681"
97,Bosnia and Herzegovina,"397,822",,"16,108 ",,"376,230",,"5,484",,"122,945","4,978","1,854,260","573,049","3,235,779 ",Europe,82012,,,"1,695"
98,North Macedonia,"342,248",+173,"9,524 ",+3,"332,051",+186,673,,"164,291","4,572","2,124,867","1,020,009","2,083,185 ",Europe,62191,83,1,323
99,Kenya,"338,341",,"5,675 ",,"332,576",,90,1,"6,000",101,"3,873,782","68,698","56,388,495 ",Africa,"1679,93615",,,2
100,Zambia,"333,387",+5,"4,017 ",,"329,218",+25,152,,"17,078",206,"3,721,778","190,648","19,521,724 ",Africa,"594,8605",0.3,,8
101,Albania,"331,583",,"3,586 ",,"325,711",,"2,286",,"115,500","1,249","1,941,032","676,115","2,870,859 ",Europe,98011,,,796
102,Botswana,"326,127",,"2,787 ",,"322,955",,385,1,"132,759","1,135","2,026,898","825,102","2,456,543 ",Africa,88811,,,157
103,Luxembourg,"288,658",,"1,123 ",,"283,668",,"3,867",,"445,131","1,732","4,402,293","6,788,644","648,479 ",Europe,25770,,,"5,963"
104,Montenegro,"278,386",,"2,779 ",,"274,508",,"1,099",6,"443,119","4,423","2,613,554","4,160,107","628,242 ",Europe,22260,,,"1,749"
105,Algeria,"270,609",,"6,879 ",,"182,244",,"81,486",6,"5,934",151,"230,861","5,063","45,600,639 ",Africa,"1696,629198",,,"1,787"
106,Nigeria,"264,933",,"3,155 ",,"257,954",,"3,824",11,"1,218",15,"5,441,162","25,025","217,429,644 ",Africa,"82168,91640",,,18
107,Zimbabwe,"256,996",,"5,598 ",,"251,156",,242,12,"16,752",365,"2,501,169","163,039","15,340,957 ",Africa,"602,7406",,,16
108,Uzbekistan,"244,023",,"1,637 ",,"241,486",,900,23,"7,065",47,"1,377,915","39,892","34,540,896 ",Asia,"14221,10025",,,26
109,Mozambique,"230,219",,"2,221 ",,"227,882",,116,11,"6,936",67,"1,371,127","41,311","33,190,555 ",Africa,"14414,94424",,,3
110,Brunei ,"224,610",,225 ,,"222,140",,"2,245",3,"502,784",504,"717,784","1,606,740","446,733 ",Asia,"21,9851",,,"5,025"
111,Martinique,"220,192",,"1,042 ",,N/A,N/A,N/A,8,"587,770","2,781","828,928","2,212,699","374,623 ",North America,23600,,,"584,710"
112,Laos,"215,448",+22,757 ,,N/A,N/A,N/A,,"28,693",101,"1,233,207","164,235","7,508,818 ",Asia,"359,9196",3,,"27,572"
113,Kyrgyzstan,"205,920",,"2,991 ",,"196,406",,"6,523",131,"30,452",442,"1,907,195","282,045","6,762,022 ",Asia,"332,2614",,,965
114,Iceland,"205,284",,213  ,,N/A,N/A,N/A,2,"593,075",615,"1,996,384","5,767,646","346,135 ",Europe,"21,6250",,,"373,802"
115,El Salvador,"201,785",,"4,228 ",,"179,410",,"18,147",8,"30,767",645,"2,610,114","397,975","6,558,491 ",North America,"331,5513",,,"2,767"
116,Afghanistan,"197,434",+101,"7,796 ",,"176,064",+110,"13,574","1,124","4,831",191,"1,091,811","26,717","40,865,591 ",Asia,"2075,24237",2,,332
117,Guadeloupe,"191,997",,986 ,,N/A,N/A,N/A,19,"479,663","2,463","938,039","2,343,486","400,275 ",North America,24060,,,"471,578"
118,Maldives,"184,966",,308 ,,"163,687",,"20,971",25,"329,368",548,"2,213,831","3,942,154","561,579 ",Asia,"31,8230",,,"37,343"
119,Trinidad and Tobago,"182,247",,"4,191 ",,"173,651",,"4,405",18,"129,299","2,973","832,195","590,420","1,409,497 ",North America,83362,,,"3,125"
120,Uganda,"169,396",,"3,628 ",,"100,431",,"65,337",3,"3,462",74,"3,012,408","61,561","48,933,492 ",Africa,"28913,48816",,,"1,335"
